ID,名字,遗物类型,描述,特殊值,介绍,声效,可损毁,微妙,专属,经济,出现率,功能
PomPomBlessing,帕姆的祝福,STARTER,战斗开始时，你回复 [E] [E] ，获得1层〖无实体〗。 NL 你打出牌后，回复20点充能。充能上限为240。 NL 回合结束时，你可以选择任意张手牌保留，每保留1张消耗20点充能。 NL 在危机关头，还有奇效。。。,,,FLAT,FALSE,FALSE,FALSE,FALSE,,
GalacticBat,银河球棒,STARTER,回合开始时，对【韧性】不大于0的敌人施加【韧性】至其上限。不同单位有不同的韧性上限。 NL 对有【韧性】的目标造成属性伤害后，移除其削韧值数量的【韧性】，若其的【韧性】因此削减至0及以下，则视为击破目标。 NL 属性伤害的削韧值为后面括号里的数字。 NL 击破目标时，会对敌方施加【弱点击破】，然后依照造成的伤害属性，触发不同的击破效果。,,击破目标时，会对敌方施加【弱点击破】，然后依照造成的伤害属性，触发不同的击破效果： NL 冰：造成2点击破伤害，施加【冻结】。 NL 物理：造成4点击破伤害，施加【裂伤】。 NL 火：造成4点击破伤害，施加【灼烧】。 NL 雷：造成2点击破伤害，施加【触电】。 NL 风：造成3点击破伤害，若其为普通/精英/BOSS敌人，施加1/2/3层【风化】。 NL 量子：造成1点击破伤害，施加【纠缠】。 NL 虚数：造成1点击破伤害，施加【禁锢】。,FLAT,FALSE,FALSE,TRUE,FALSE,,
WarpingCompoundEye,跃迁复眼,UNCOMMON,选择奖励牌时，升级其中所有普通品质的卡牌。,,它的光线能率先跃迁至前方的星系，带回新世界的信息。,FLAT,FALSE,FALSE,FALSE,FALSE,,发育
CasketOfInaccuracy,测不准匣,COMMON,拾起时，额外获得1次卡牌奖励。,1,这只匣子的每一面都能够打开，本应重合的空间并不重合，由于这种独特的性质，你无法确定打开匣子后会发生什么，因此也并不建议在里面存放任何东西。,FLAT,FALSE,FALSE,FALSE,FALSE,,发育
AmbergrisCheese,香涎干酪,COMMON,战斗结束后，回复2点生命。,2,直到现在，银河中仍然有一个星系被美味的干酪塞得严严实实，一丁点空隙也没留下。,FLAT,FALSE,FALSE,FALSE,FALSE,,生存
TheParchmentThatAlwaysEats,永不停嘴的羊皮卷,COMMON,战斗开始时，对所有敌方角色造成其生命值上限10%的伤害。,10,在黑塔的奇物清单里，这张羊皮卷的危害等级被标注为极高。,FLAT,FALSE,FALSE,FALSE,FALSE,,伤害
TheDoctorsRobe,博士之袍,COMMON,战斗开始时，回复120点充能。,120,这件长袍据称曾属于天才俱乐部4「原始博士」，拥有不可思议的力量。,FLAT,FALSE,FALSE,TRUE,FALSE,,伤害
SocietyTicket,俱乐部券,COMMON,战斗结束后，获得的金币数提高20%。,20,事实是，6以后的每位会员都确实使用过「俱乐部券」，可时间从来没有重合过哪怕一次。,FLAT,FALSE,FALSE,FALSE,TRUE,,经济
RecordFromBeyondTheSky,天外重声大碟,COMMON,阻止你在每场战斗中第一次受到的负面效果施加，和生命值损伤。,1,最后一台秩序唱机在帝皇战争中损坏，唱片上厚厚的积灰似在抗议那无声的时光。,FLAT,FALSE,FALSE,FALSE,FALSE,,生存
EntropicDie,万象无常骰,COMMON,拾起时，随机升级2张牌。,2,万象无常骰曾在宇宙中极为常见，造成无数微小但邪恶的混乱。,FLAT,FALSE,FALSE,FALSE,FALSE,,运营
AngelTypeIOUDispenser,天使型谢债发行机,COMMON,战斗结束后，无法获得金币。效果触发4次后该奇物失效，使当前的金币数量翻倍，且该遗物损毁。,4,星际和平公司业务巩固部推出的谢债发行机，本质上是个投资产品。,FLAT,TRUE,TRUE,FALSE,TRUE,,经济
BlackHoleTrap,黑洞之阱,COMMON,战斗结束后，根据你生命值大于80%的百分比，获得等量金币。,80,星系中时空曲率最大的地方曾出现疑似「虚无」星神的巨影。,FLAT,FALSE,FALSE,FALSE,TRUE,,经济
RubertEmpireMechanicalCogwheel,鲁珀特帝国机械齿轮,UNCOMMON,进入战斗时，获得50金币，然后若你的金币数大于750，则失去所有金币，该遗物损毁。 NL 若同时携带全部鲁珀特帝国机械系列遗物，将引发反有机方程的局域共鸣。,50,#鲁珀特二世自称继承了天才俱乐部500.07帝皇鲁珀特的记忆。,FLAT,TRUE,TRUE,FALSE,TRUE,,经济
RubertEmpireMechanicalLever,鲁珀特帝国机械杠杆,UNCOMMON,进入？时，随机选择一张牌，若其未升级，则升级之，否则失去之，且该遗物损毁。 NL 若同时携带全部鲁珀特帝国机械系列遗物，将引发反有机方程的局域共鸣。,,#鲁珀特二世自称继承了天才俱乐部1.07帝皇鲁珀特的记忆。,FLAT,TRUE,TRUE,FALSE,FALSE,,运营
RubertEmpireMechanicalPiston,鲁珀特帝国机械活塞,UNCOMMON,进入休息处时，获得2个遗物，随机失去1个非初始遗物，若以此法失去自身，则失去所有普通遗物。 NL 若同时携带全部鲁珀特帝国机械系列遗物，将引发反有机方程的局域共鸣。,,#鲁珀特二世自称继承了天才俱乐部2.07帝皇鲁珀特的记忆。,FLAT,FALSE,TRUE,FALSE,FALSE,,运营
PriceOfPeace,和平的代价,COMMON,进入商店时，获得100金币。,100,人们相信这场繁荣永远不会结束——直到日后更为惨烈的星际能源战争悄然揭幕。,FLAT,FALSE,FALSE,FALSE,TRUE,,经济
MysteriousMagnetism,「神秘」磁力,COMMON,进入战斗房间时，怪物替换为精英，触发2次后损毁，获得200金币。,25,为对抗「智识」的确定性，谜语人曾在不确定领域做出诸多努力。,FLAT,TRUE,FALSE,FALSE,TRUE,,经济
ShatterboneBlade,断骨剑,COMMON,第二章及之前，受到的生命值损失+1；第三章及之后，受到的生命值损失-1。,1,而多年以后，每每在私下讲起森林里的遭遇时，少年都会痛哭流涕，并对那人面兽心的卡耶尔大骂不止。,FLAT,FALSE,TRUE,FALSE,FALSE,,生存
BeaconColoringPaste,信标着色剂,UNCOMMON,选择奖励牌时，升级其中1张。,1,它的发明者乃是一位画技卓绝的无名客。,FLAT,FALSE,FALSE,FALSE,FALSE,,运营
SuperOverlordSpinningTop,超霸王陀螺,COMMON,战斗开始时，获得1层【击破特攻】。首个回合开始时，移除所有敌方33%的【韧性】。,33,博识学会的每一条规定，都有它诞生的理由。,FLAT,FALSE,FALSE,FALSE,FALSE,,伤害
GeniusSocietysDangerousGossip,天才俱乐部危险八卦,COMMON,无法获得金币。每因为此遗物损失80金币，获得一个随机遗物，触发3次后损毁。,3,有人认为，波尔卡只是杀死了所有看到她的人，也有人认为，她借用了「神秘」或「虚无」的力量，抹消了存在的痕迹。,FLAT,TRUE,TRUE,FALSE,TRUE,,运营
PunklordianBalance,朋克洛德平衡,COMMON,接下来的普通战斗中的敌人将只有50%生命，触发2次后损毁。,2,但直到今天，你仍能在数据边缘看到一艘艘即将深潜的航船，载着意气风发的骇客们踏上寻宝之旅。,FLAT,TRUE,FALSE,FALSE,FALSE,,伤害
GreenFingers,埋点土,COMMON,获得 3 / 6 / 9 场战斗胜利后，获得 50 / 100 / 150 金币。获得 9 场战斗胜利后，该遗物损毁。,9,因此，他们总会留下最光鲜亮丽的一张钞票埋进土里，希冀种出自己的信用点树。,FLAT,TRUE,FALSE,FALSE,TRUE,,经济
FruitOfTheAlienTree,异木果实,COMMON,受到致命伤害时，防止之，并回复20%生命。,20,这颗形似心脏的果实来自于某株被药师赐福的大树，据说已有五十琥珀纪的历史。,FLAT,FALSE,FALSE,FALSE,FALSE,,生存
Dreams0110,有梦0110,COMMON,战斗开始时，获得3点〖力量〗。回合开始时，若〖力量〗大于0，失去1点。,3,但据患者透露，每位滴加了润滑油的智械，都在夜里梦见了张着血盆大口的电子蝴蝶。,FLAT,FALSE,TRUE,FALSE,FALSE,,伤害
VileMechanicalSatellite900,邪恶机械卫星#900,COMMON,消费后，返还20%。,20,它们是典型的反有机文明，对待有机生命手腕狠辣，而其中尤以卫星#900最为邪恶。,FLAT,FALSE,FALSE,FALSE,TRUE,,经济
VoidWickTrimmer,空无烛剪,COMMON,拾起时，重新获得至多2个已有但已损毁的遗物。,2,剪刀剪断的不是物质，而是生物心中的热量——被称为热情的动力。假如空无烛剪划过你的心脏，你将感受到的不是痛楚，而是冷漠。,FLAT,FALSE,FALSE,FALSE,FALSE,,运营
UnmannedComms,无人通讯,COMMON,遗物损毁时，重新获得之。触发2次后，此遗物损毁。,2,它的身体蠕动，迸射出孢子，仿佛随时都将破茧而出。「与其说是摩斯卡人利用了虫群，不如说，是虫群被动寄生在了他们的文明上。」,FLAT,TRUE,FALSE,FALSE,FALSE,,运营
DimensionReductionDice,降维骰子,UNCOMMON,战斗胜利后额外获得1次卡牌奖励，但可供选择的牌数-1。触发2次后该遗物损毁。,2,九枚六面骰组成了这个奇特的三角体，它能对自身进行持续不断的降维，从而以二维平面的方式存在于立体的世界里。,FLAT,TRUE,FALSE,FALSE,FALSE,,运营
FortuneGlue,福灵胶,UNCOMMON,战斗结束后，出现的牌是稀有品质的概率提高100%，触发1次后该遗物损毁。,100,运气是一种能力吗？也许；运气能够被改变吗？黑塔认为能。,FLAT,TRUE,FALSE,FALSE,FALSE,,运营
