ID,名字,遗物类型,描述,特殊值,介绍,声效
PomPomBlessing,帕姆的祝福,STARTER,战斗开始时，你回复100点充能，同等与当前层数的 [E] ，然后获得1层无实体。 NL 你使用牌后，回复20点充能。充能上限为240。 NL 回合结束时，你可以选择任意张手牌保留，每保留1张消耗20点充能。 NL 在危机关头，还有奇效。。。,,,FLAT
GalacticBat,银河球棒,STARTER,回合开始时，对【韧性】不大于0的敌人施加【韧性】至其上限。不同单位有不同的韧性上限。 NL 对有【韧性】的目标造成属性伤害后，移除其削韧值数量的【韧性】，若其的【韧性】因此削减至0及以下，则视为击破目标。 NL 属性伤害的削韧值为后面括号里的数字。 NL 击破目标时，会对敌方施加【弱点击破】，然后依照造成的伤害属性，触发不同的击破效果。,,击破目标时，会对敌方施加【弱点击破】，然后依照造成的伤害属性，触发不同的击破效果： NL 冰：造成2点击破伤害，施加【冻结】。 NL 物理：造成4点击破伤害，施加【裂伤】。 NL 火：造成4点击破伤害，施加【灼烧】。 NL 雷：造成2点击破伤害，施加【触电】。 NL 风：造成3点击破伤害，若其为普通/精英/BOSS敌人，施加1/2/3层【风化】。 NL 量子：造成1点击破伤害，施加【纠缠】。 NL 虚数：造成1点击破伤害，施加【禁锢】。,FLAT
WarpingCompoundEye,跃迁复眼,COMMON,在选择奖励牌时，强化其中所有普通品质的卡牌。,,它的光线能率先跃迁至前方的星系，带回新世界的信息。,FLAT
CasketOfInaccuracy,测不准匣,COMMON,拾起时，可以增加一张牌到你的卡组。,,这只匣子的每一面都能够打开，本应重合的空间并不重合，由于这种独特的性质，你无法确定打开匣子后会发生什么，因此也并不建议在里面存放任何东西。,FLAT
AmbergrisCheese,香涎干酪,COMMON,战斗结束后，回复2点生命。,2,直到现在，银河中仍然有一个星系被美味的干酪塞得严严实实，一丁点空隙也没留下。,FLAT
TheParchmentThatAlwaysEats,永不停嘴的羊皮卷,COMMON,战斗开始时，对所有敌方角色造成其生命值上限10%的伤害。,10,在黑塔的奇物清单里，这张羊皮卷的危害等级被标注为极高。,FLAT
TheDoctorsRobe,博士之袍,COMMON,战斗开始时，回复120点充能。,120,这件长袍据称曾属于天才俱乐部4「原始博士」，拥有不可思议的力量。,FLAT
SocietyTicket,俱乐部券,COMMON,战斗结束后，获得的金币数提高33%。,,事实是，6以后的每位会员都确实使用过「俱乐部券」，可时间从来没有重合过哪怕一次。,FLAT
FaithBond,信仰债券,COMMON,商店区域的药水和奇物商品价格减少33%。,,但一代又一代的「你」汇聚起来，终将拥有守护整个宇宙的力量。,FLAT
RecordFromBeyondTheSky,天外重声大碟,COMMON,战斗开始时，获得1层【无实体】和1层【人工制品】。,1,最后一台秩序唱机在帝皇战争中损坏，唱片上厚厚的积灰似在抗议那无声的时光。,FLAT
EntropicDie,万象无常骰,COMMON,拾起时，随机升级2张牌。,2,万象无常骰曾在宇宙中极为常见，造成无数微小但邪恶的混乱。,FLAT
AngelTypeIOUDispenser,天使型谢债发行机,COMMON,战斗结束后，无法获得金币。效果触发5次后该奇物失效，使当前的金币数量翻倍，且该遗物损毁。,5,星际和平公司业务巩固部推出的谢债发行机，本质上是个投资产品。,FLAT
